Number of residues used for FULL,7

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,342,68,9,0
DPB0201,350,80,7,0
DPB0202,46,13,2,0
DPB03,277,65,2,0
DPB0401,612,115,14,0
DPB0402,256,44,6,0
DPB06,83,25,2,0
DPB10,50,21,2,0
DPB13,124,29,1,0
DPB15,58,0,0,0
DPB17,48,0,0,0
DPB18,31,0,0,0
DPB30,30,0,0,0
DPB31,18,0,0,0
DPB45,14,14,0,0
DPB46,4,6,0,0
DPB80,7,11,0,0
UNA,2,0,0,0

AssignedTotal,2352,491,45,0
CommonTotal,1087,58,0,0
IntermediateTotal,54,9,3,0
WellDocumentedTotal,125,53,2,0
RareTotal,1086,371,40,0

TOTAL EXPRESSED ALLELES,2888
Null alleles,169
Q alleles,18
TOTAL ALLELES,3075
